"Time Stamp","Time Zone","Name","PTID","Load"
"12/13/2019 01:20:00","EST","MHK VL",61756,882
"12/13/2019 01:20:00","EST","MILLWD",61759,323.1
"12/13/2019 01:20:00","EST","N.Y.C.",61761,4872.4
"12/13/2019 01:20:00","EST","NORTH",61755,606.1
"12/13/2019 01:20:00","EST","WEST",61752,1568.9
"12/13/2019 01:25:00","EST","CAPITL",61757,1236.1
"12/13/2019 01:25:00","EST","CENTRL",61754,1686.1
"12/13/2019 01:25:00","EST","DUNWOD",61760,565.5
"12/13/2019 01:25:00","EST","GENESE",61753,1027
"12/13/2019 01:25:00","EST","HUD VL",61758,989.4
"12/13/2019 01:25:00","EST","LONGIL",61762,1979.8
"12/13/2019 01:25:00","EST","MHK VL",61756,879
"12/13/2019 01:25:00","EST","MILLWD",61759,328.2
"12/13/2019 01:25:00","EST","N.Y.C.",61761,4866.5
"12/13/2019 01:25:00","EST","NORTH",61755,599.2
"12/13/2019 01:25:00","EST","WEST",61752,1557.2
"12/13/2019 01:30:00","EST","CAPITL",61757,1230.2
"12/13/2019 01:30:00","EST","CENTRL",61754,1691.2
"12/13/2019 01:30:00","EST","DUNWOD",61760,561.1
"12/13/2019 01:30:00","EST","GENESE",61753,1025.1
"12/13/2019 01:30:00","EST","HUD VL",61758,997.6
"12/13/2019 01:30:00","EST","LONGIL",61762,1970.2
"12/13/2019 01:30:00","EST","MHK VL",61756,879.1
"12/13/2019 01:30:00","EST","MILLWD",61759,330.4
"12/13/2019 01:30:00","EST","N.Y.C.",61761,4852.1
"12/13/2019 01:30:00","EST","NORTH",61755,611.3
"12/13/2019 01:30:00","EST","WEST",61752,1547.7
"12/13/2019 01:35:00","EST","CAPITL",61757,1236.5
"12/13/2019 01:35:00","EST","CENTRL",61754,1670.3
"12/13/2019 01:35:00","EST","DUNWOD",61760,560.6
"12/13/2019 01:35:00","EST","GENESE",61753,1025.5
"12/13/2019 01:35:00","EST","HUD VL",61758,985
"12/13/2019 01:35:00","EST","LONGIL",61762,1959.3
"12/13/2019 01:35:00","EST","MHK VL",61756,872
"12/13/2019 01:35:00","EST","MILLWD",61759,336.3
"12/13/2019 01:35:00","EST","N.Y.C.",61761,4850.8
"12/13/2019 01:35:00","EST","NORTH",61755,606.8
"12/13/2019 01:35:00","EST","WEST",61752,1566.4
"12/13/2019 01:40:00","EST","CAPITL",61757,1227.1
"12/13/2019 01:40:00","EST","CENTRL",61754,1667.1
"12/13/2019 01:40:00","EST","DUNWOD",61760,554.6
"12/13/2019 01:40:00","EST","GENESE",61753,1021.8
"12/13/2019 01:40:00","EST","HUD VL",61758,990.6
"12/13/2019 01:40:00","EST","LONGIL",61762,1964.7
"12/13/2019 01:40:00","EST","MHK VL",61756,878.9
"12/13/2019 01:40:00","EST","MILLWD",61759,339.6
"12/13/2019 01:40:00","EST","N.Y.C.",61761,4799.1
"12/13/2019 01:40:00","EST","NORTH",61755,597.5
"12/13/2019 01:40:00","EST","WEST",61752,1546.1
"12/13/2019 01:45:00","EST","CAPITL",61757,1229.1
"12/13/2019 01:45:00","EST","CENTRL",61754,1667.5
"12/13/2019 01:45:00","EST","DUNWOD",61760,556.7
"12/13/2019 01:45:00","EST","GENESE",61753,1017.9
"12/13/2019 01:45:00","EST","HUD VL",61758,1005
"12/13/2019 01:45:00","EST","LONGIL",61762,1944.1
"12/13/2019 01:45:00","EST","MHK VL",61756,876.7
"12/13/2019 01:45:00","EST","MILLWD",61759,320.9
"12/13/2019 01:45:00","EST","N.Y.C.",61761,4835
"12/13/2019 01:45:00","EST","NORTH",61755,609.5
"12/13/2019 01:45:00","EST","WEST",61752,1572.7
"12/13/2019 01:50:00","EST","CAPITL",61757,1235.9
"12/13/2019 01:50:00","EST","CENTRL",61754,1713.4
"12/13/2019 01:50:00","EST","DUNWOD",61760,560.8
"12/13/2019 01:50:00","EST","GENESE",61753,1018
"12/13/2019 01:50:00","EST","HUD VL",61758,989.1
"12/13/2019 01:50:00","EST","LONGIL",61762,1951.1
"12/13/2019 01:50:00","EST","MHK VL",61756,875.2
"12/13/2019 01:50:00","EST","MILLWD",61759,310.8
"12/13/2019 01:50:00","EST","N.Y.C.",61761,4814.8
"12/13/2019 01:50:00","EST","NORTH",61755,609.3
"12/13/2019 01:50:00","EST","WEST",61752,1548
"12/13/2019 01:55:00","EST","CAPITL",61757,1229.4
"12/13/2019 01:55:00","EST","CENTRL",61754,1709.1
"12/13/2019 01:55:00","EST","DUNWOD",61760,549.8
